UF;NOME DO MUNICÍPIO;country;population;ibgeID
BA;Cícero Dantas;Brazil;32515;2907806
PR;Cidade Gaúcha;Brazil;12652;4105607
GO;Cidade Ocidental;Brazil;71376;5205497
MA;Cidelândia;Brazil;14697;2103257
RS;Cidreira;Brazil;16254;4305454
BA;Cipó;Brazil;17300;2907905
MG;Cipotânea;Brazil;6787;3116308
RS;Ciríaco;Brazil;4747;4305504
MG;Claraval;Brazil;4843;3116407
MG;Claro dos Poções;Brazil;7551;3116506
MT;Cláudia;Brazil;12149;5103056
MG;Cláudio;Brazil;28617;3116605
SP;Clementina;Brazil;8617;3511904
PR;Clevelândia;Brazil;16559;4105706
BA;Coaraci;Brazil;16993;2908002
AM;Coari;Brazil;85097;1301209
PI;Cocal;Brazil;27787;2202703
PI;Cocal de Telha;Brazil;4891;2202711
SC;Cocal do Sul;Brazil;16684;4204251
PI;Cocal dos Alves;Brazil;6153;2202729
MT;Cocalinho;Brazil;5700;5103106
GO;Cocalzinho de Goiás;Brazil;20240;5205513
BA;Cocos;Brazil;18777;2908101
AM;Codajás;Brazil;28637;1301308
MA;Codó;Brazil;122859;2103307
MA;Coelho Neto;Brazil;49435;2103406
MG;Coimbra;Brazil;7556;3116704
AL;Coité do Nóia;Brazil;10693;2702009
PI;Coivaras;Brazil;4020;2202737
PA;Colares;Brazil;12085;1502608
ES;Colatina;Brazil;122499;3201506
MT;Colíder;Brazil;33438;5103205
SP;Colina;Brazil;18468;3512001
MA;Colinas;Brazil;41178;2103505
RS;Colinas;Brazil;2438;4305587
GO;Colinas do Sul;Brazil;3382;5205521
TO;Colinas do Tocantins;Brazil;35424;1705508
TO;Colméia;Brazil;8205;1716703
MT;Colniza;Brazil;38582;5103254
SP;Colômbia;Brazil;6210;3512100
PR;Colombo;Brazil;243726;4105805
PI;Colônia do Gurguéia;Brazil;6484;2202752
PI;Colônia do Piauí;Brazil;7656;2202778
AL;Colônia Leopoldina;Brazil;21698;2702108
PR;Colorado;Brazil;24012;4105904
RS;Colorado;Brazil;3175;4305603
RO;Colorado do Oeste;Brazil;15882;1100064
MG;Coluna;Brazil;8873;3116803
TO;Combinado;Brazil;4852;1705557
MG;Comendador Gomes;Brazil;3111;3116902
RJ;Comendador Levy Gasparian;Brazil;8561;3300951
MG;Comercinho;Brazil;6929;3117009
MT;Comodoro;Brazil;20763;5103304
PB;Conceição;Brazil;18982;2504405
MG;Conceição da Aparecida;Brazil;10292;3117108
ES;Conceição da Barra;Brazil;31063;3201605
MG;Conceição da Barra de Minas;Brazil;3954;3115201
BA;Conceição da Feira;Brazil;22581;2908200
MG;Conceição das Alagoas;Brazil;27893;3117306
MG;Conceição das Pedras;Brazil;2812;3117207
MG;Conceição de Ipanema;Brazil;4574;3117405
RJ;Conceição de Macabu;Brazil;23228;3301405
BA;Conceição do Almeida;Brazil;17247;2908309
PA;Conceição do Araguaia;Brazil;47864;1502707
PI;Conceição do Canindé;Brazil;4803;2202802
ES;Conceição do Castelo;Brazil;12723;3201704
BA;Conceição do Coité;Brazil;66612;2908408
BA;Conceição do Jacuípe;Brazil;33153;2908507
MA;Conceição do Lago-Açu;Brazil;16237;2103554
MG;Conceição do Mato Dentro;Brazil;17842;3117504
MG;Conceição do Pará;Brazil;5507;3117603
MG;Conceição do Rio Verde;Brazil;13638;3117702
TO;Conceição do Tocantins;Brazil;4105;1705607
MG;Conceição dos Ouros;Brazil;11638;3117801
SP;Conchal;Brazil;28050;3512209
SP;Conchas;Brazil;17896;3512308
SC;Concórdia;Brazil;74641;4204301
PA;Concórdia do Pará;Brazil;33318;1502756
PB;Condado;Brazil;6654;2504504
PE;Condado;Brazil;26421;2604601
PB;Conde;Brazil;24670;2504603
BA;Conde;Brazil;25837;2908606
BA;Condeúba;Brazil;17247;2908705
RS;Condor;Brazil;6753;4305702
MG;Cônego Marinho;Brazil;7642;3117836
MG;Confins;Brazil;6730;3117876
MT;Confresa;Brazil;30933;5103353
PB;Congo;Brazil;4786;2504702
MG;Congonhal;Brazil;11950;3117900
MG;Congonhas;Brazil;54762;3118007
MG;Congonhas do Norte;Brazil;5045;3118106
PR;Congonhinhas;Brazil;8818;4106001
MG;Conquista;Brazil;6939;3118205
MT;Conquista D'Oeste;Brazil;4038;5103361
MG;Conselheiro Lafaiete;Brazil;128589;3118304
PR;Conselheiro Mairinck;Brazil;3860;4106100
MG;Conselheiro Pena;Brazil;22921;3118403
MG;Consolação;Brazil;1783;3118502
RS;Constantina;Brazil;9911;4305801
MG;Contagem;Brazil;663855;3118601
PR;Contenda;Brazil;18584;4106209
BA;Contendas do Sincorá;Brazil;4066;2908804
MG;Coqueiral;Brazil;9159;3118700
RS;Coqueiro Baixo;Brazil;1501;4305835
AL;Coqueiro Seco;Brazil;5845;2702207
RS;Coqueiros do Sul;Brazil;2306;4305850
MG;Coração de Jesus;Brazil;26602;3118809
BA;Coração de Maria;Brazil;22605;2908903
PR;Corbélia;Brazil;17071;4106308
RJ;Cordeiro;Brazil;21926;3301504
SP;Cordeirópolis;Brazil;24528;3512407
BA;Cordeiros;Brazil;8614;2909000
SC;Cordilheira Alta;Brazil;4453;4204350
MG;Cordisburgo;Brazil;8890;3118908
MG;Cordislândia;Brazil;3538;3119005
CE;Coreaú;Brazil;23136;2304004
PB;Coremas;Brazil;15445;2504801
MS;Corguinho;Brazil;5947;5003108
BA;Coribe;Brazil;14194;2909109
MG;Corinto;Brazil;23731;3119104
PR;Cornélio Procópio;Brazil;47845;4106407
MG;Coroaci;Brazil;9991;3119203
SP;Coroados;Brazil;6058;3512506
MA;Coroatá;Brazil;65296;2103604
MG;Coromandel;Brazil;27974;3119302
RS;Coronel Barros;Brazil;2519;4305871
RS;Coronel Bicaco;Brazil;7325;4305900
PR;Coronel Domingos Soares;Brazil;7497;4106456
RN;Coronel Ezequiel;Brazil;5506;2402808
MG;Coronel Fabriciano;Brazil;109855;3119401
SC;Coronel Freitas;Brazil;9981;4204400
RN;Coronel João Pessoa;Brazil;4912;2402907
BA;Coronel João Sá;Brazil;15895;2909208
PI;Coronel José Dias;Brazil;4682;2202851
SP;Coronel Macedo;Brazil;4681;3512605
SC;Coronel Martins;Brazil;2549;4204459
MG;Coronel Murta;Brazil;9222;3119500
MG;Coronel Pacheco;Brazil;3086;3119609
RS;Coronel Pilar;Brazil;1628;4305934
MS;Coronel Sapucaia;Brazil;15253;5003157
PR;Coronel Vivida;Brazil;20734;4106506
MG;Coronel Xavier Chaves;Brazil;3434;3119708
MG;Córrego Danta;Brazil;3215;3119807
MG;Córrego do Bom Jesus;Brazil;3704;3119906
GO;Córrego do Ouro;Brazil;2327;5205703
MG;Córrego Fundo;Brazil;6337;3119955
MG;Córrego Novo;Brazil;2771;3120003
SC;Correia Pinto;Brazil;12795;4204558
PI;Corrente;Brazil;26644;2202901
PE;Correntes;Brazil;18207;2604700
BA;Correntina;Brazil;32137;2909307
PE;Cortês;Brazil;12578;2604809
MS;Corumbá;Brazil;111435;5003207
GO;Corumbá de Goiás;Brazil;11110;5205802
GO;Corumbaíba;Brazil;9723;5205901
SP;Corumbataí;Brazil;4055;3512704
PR;Corumbataí do Sul;Brazil;3219;4106555
RO;Corumbiara;Brazil;7391;1100072
SC;Corupá;Brazil;15909;4204509
AL;Coruripe;Brazil;56933;2702306
SP;Cosmópolis;Brazil;72252;3512803
SP;Cosmorama;Brazil;7307;3512902
RO;Costa Marques;Brazil;18331;1100080
MS;Costa Rica;Brazil;20823;5003256
BA;Cotegipe;Brazil;13782;2909406
SP;Cotia;Brazil;249210;3513009
RS;Cotiporã;Brazil;3853;4305959
MT;Cotriguaçu;Brazil;19750;5103379
MG;Couto de Magalhães de Minas;Brazil;4410;3120102
TO;Couto Magalhães;Brazil;5588;1706001
RS;Coxilha;Brazil;2756;4305975
MS;Coxim;Brazil;33543;5003306
PB;Coxixola;Brazil;1921;2504850
AL;Craíbas;Brazil;24219;2702355
CE;Crateús;Brazil;75074;2304103
CE;Crato;Brazil;132123;2304202
SP;Cravinhos;Brazil;35292;3513108
BA;Cravolândia;Brazil;5349;2909505
SC;Criciúma;Brazil;215186;4204608
MG;Crisólita;Brazil;6704;3120151
BA;Crisópolis;Brazil;21103;2909604
RS;Crissiumal;Brazil;13448;4306007
MG;Cristais;Brazil;12798;3120201
SP;Cristais Paulista;Brazil;8631;3513207
RS;Cristal;Brazil;8009;4306056
RS;Cristal do Sul;Brazil;2847;4306072
TO;Cristalândia;Brazil;7289;1706100
PI;Cristalândia do Piauí;Brazil;8294;2203008
MG;Cristália;Brazil;5971;3120300
GO;Cristalina;Brazil;58997;5206206
MG;Cristiano Otoni;Brazil;5150;3120409
GO;Cristianópolis;Brazil;2966;5206305
MG;Cristina;Brazil;10242;3120508
SE;Cristinápolis;Brazil;17874;2801702
PI;Cristino Castro;Brazil;10423;2203107
BA;Cristópolis;Brazil;13910;2909703
GO;Crixás;Brazil;16949;5206404
TO;Crixás do Tocantins;Brazil;1722;1706258
CE;Croatá;Brazil;18063;2304236
GO;Cromínia;Brazil;3486;5206503
MG;Crucilândia;Brazil;5034;3120607
CE;Cruz;Brazil;24827;2304251
RS;Cruz Alta;Brazil;60299;4306106
BA;Cruz das Almas;Brazil;63239;2909802
PB;Cruz do Espírito Santo;Brazil;17319;2504900
PR;Cruz Machado;Brazil;18708;4106803
SP;Cruzália;Brazil;2073;3513306
RS;Cruzaltense;Brazil;1833;4306130
SP;Cruzeiro;Brazil;82238;3513405
MG;Cruzeiro da Fortaleza;Brazil;3626;3120706
PR;Cruzeiro do Iguaçu;Brazil;4252;4106571
PR;Cruzeiro do Oeste;Brazil;20932;4106605
AC;Cruzeiro do Sul;Brazil;88376;1200203
PR;Cruzeiro do Sul;Brazil;4469;4106704
RS;Cruzeiro do Sul;Brazil;12348;4306205
RN;Cruzeta;Brazil;7998;2403004
MG;Cruzília;Brazil;15417;3120805
PR;Cruzmaltina;Brazil;2950;4106852
SP;Cubatão;Brazil;130705;3513504
PB;Cubati;Brazil;7797;2505006
MT;Cuiabá;Brazil;612547;5103403
PB;Cuité;Brazil;20338;2505105
PB;Cuité de Mamanguape;Brazil;6353;2505238
PB;Cuitegi;Brazil;6803;2505204
RO;Cujubim;Brazil;25215;1100940
GO;Cumari;Brazil;2854;5206602
PE;Cumaru;Brazil;10906;2604908
PA;Cumaru do Norte;Brazil;13473;1502764
SE;Cumbe;Brazil;3987;2801900
SP;Cunha;Brazil;21547;3513603
SC;Cunha Porã;Brazil;11086;4204707
SC;Cunhataí;Brazil;1962;4204756
MG;Cuparaque;Brazil;4982;3120839
PE;Cupira;Brazil;24107;2605004
BA;Curaçá;Brazil;34700;2909901
PI;Curimatá;Brazil;11388;2203206
PA;Curionópolis;Brazil;17929;1502772
PR;Curitiba;Brazil;1933105;4106902
SC;Curitibanos;Brazil;39745;4204806
PR;Curiúva;Brazil;15101;4107009
PI;Currais;Brazil;4954;2203230
RN;Currais Novos;Brazil;44786;2403103
PB;Curral de Cima;Brazil;5227;2505279
MG;Curral de Dentro;Brazil;7729;3120870
PI;Curral Novo do Piauí;Brazil;5343;2203271
PB;Curral Velho;Brazil;2516;2505303
PA;Curralinho;Brazil;34448;1502806
PI;Curralinhos;Brazil;4443;2203255
PA;Curuá;Brazil;14393;1502855
PA;Curuçá;Brazil;40066;1502905
MA;Cururupu;Brazil;32695;2103703
MT;Curvelândia;Brazil;5219;5103437
MG;Curvelo;Brazil;80129;3120904
PE;Custódia;Brazil;37111;2605103
AP;Cutias;Brazil;5983;1600212
GO;Damianópolis;Brazil;3311;5206701
PB;Damião;Brazil;5330;2505352
GO;Damolândia;Brazil;2938;5206800
TO;Darcinópolis;Brazil;6097;1706506
BA;Dário Meira;Brazil;10710;2910008
MG;Datas;Brazil;5410;3121001
RS;David Canabarro;Brazil;4740;4306304
MA;Davinópolis;Brazil;12908;2103752
GO;Davinópolis;Brazil;2094;5206909
MG;Delfim Moreira;Brazil;8025;3121100
MG;Delfinópolis;Brazil;7114;3121209
AL;Delmiro Gouveia;Brazil;52016;2702405
MG;Delta;Brazil;10533;3121258
PI;Demerval Lobão;Brazil;13817;2203305
MT;Denise;Brazil;9462;5103452
MS;Deodápolis;Brazil;12924;5003454
CE;Deputado Irapuan Pinheiro;Brazil;9625;2304269
RS;Derrubadas;Brazil;2805;4306320
SP;Descalvado;Brazil;33718;3513702
SC;Descanso;Brazil;8250;4204905
MG;Descoberto;Brazil;5013;3121308
PB;Desterro;Brazil;8297;2505402
MG;Desterro de Entre Rios;Brazil;7243;3121407
MG;Desterro do Melo;Brazil;2901;3121506
RS;Dezesseis de Novembro;Brazil;2427;4306353
SP;Diadema;Brazil;423884;3513801
PB;Diamante;Brazil;6552;2505600
PR;Diamante do Norte;Brazil;5087;4107108
PR;Diamante do Sul;Brazil;3439;4107124
PR;Diamante D'Oeste;Brazil;5253;4107157
MG;Diamantina;Brazil;47723;3121605
MT;Diamantino;Brazil;22041;5103502
TO;Dianópolis;Brazil;22139;1707009
BA;Dias d'Ávila;Brazil;81089;2910057
RS;Dilermando de Aguiar;Brazil;3014;4306379
MG;Diogo de Vasconcelos;Brazil;3802;3121704
MG;Dionísio;Brazil;7729;3121803
SC;Dionísio Cerqueira;Brazil;15498;4205001
GO;Diorama;Brazil;2484;5207105
SP;Dirce Reis;Brazil;1793;3513850
PI;Dirceu Arcoverde;Brazil;7011;2203354
SE;Divina Pastora;Brazil;5138;2802007
MG;Divinésia;Brazil;3417;3121902
MG;Divino;Brazil;19931;3122009
MG;Divino das Laranjeiras;Brazil;4979;3122108
ES;Divino de São Lourenço;Brazil;4304;3201803
SP;Divinolândia;Brazil;11146;3513900
MG;Divinolândia de Minas;Brazil;7571;3122207
MG;Divinópolis;Brazil;238230;3122306
GO;Divinópolis de Goiás;Brazil;4804;5208301
TO;Divinópolis do Tocantins;Brazil;6900;1707108
MG;Divisa Alegre;Brazil;6786;3122355
MG;Divisa Nova;Brazil;6011;3122405
MG;Divisópolis;Brazil;11019;3122454
SP;Dobrada;Brazil;8929;3514007
SP;Dois Córregos;Brazil;27315;3514106
RS;Dois Irmãos;Brazil;32671;4306403
RS;Dois Irmãos das Missões;Brazil;2026;4306429
MS;Dois Irmãos do Buriti;Brazil;11385;5003488
TO;Dois Irmãos do Tocantins;Brazil;7198;1707207
RS;Dois Lajeados;Brazil;3400;4306452
AL;Dois Riachos;Brazil;11075;2702504
PR;Dois Vizinhos;Brazil;40641;4107207
SP;Dolcinópolis;Brazil;2115;3514205
MT;Dom Aquino;Brazil;8178;5103601
BA;Dom Basílio;Brazil;12199;2910107
MG;Dom Bosco;Brazil;3677;3122470
MG;Dom Cavati;Brazil;5072;3122504
PA;Dom Eliseu;Brazil;59719;1502939
PI;Dom Expedito Lopes;Brazil;6904;2203404
RS;Dom Feliciano;Brazil;15414;4306502
PI;Dom Inocêncio;Brazil;9556;2203453
MG;Dom Joaquim;Brazil;4195;3122603
BA;Dom Macedo Costa;Brazil;4058;2910206
RS;Dom Pedrito;Brazil;38461;4306601
MA;Dom Pedro;Brazil;23350;2103802
RS;Dom Pedro de Alcântara;Brazil;2534;4306551
MG;Dom Silvério;Brazil;5237;3122702
MG;Dom Viçoso;Brazil;3001;3122801
ES;Domingos Martins;Brazil;33850;3201902
PI;Domingos Mourão;Brazil;4355;2203420
SC;Dona Emma;Brazil;4146;4205100
MG;Dona Eusébia;Brazil;6572;3122900
RS;Dona Francisca;Brazil;3041;4306700
PB;Dona Inês;Brazil;10453;2505709
MG;Dores de Campos;Brazil;10153;3123007
MG;Dores de Guanhães;Brazil;5169;3123106
MG;Dores do Indaiá;Brazil;13483;3123205
ES;Dores do Rio Preto;Brazil;6749;3202009
MG;Dores do Turvo;Brazil;4259;3123304
MG;Doresópolis;Brazil;1527;3123403
PE;Dormentes;Brazil;18908;2605152
PR;Douradina;Brazil;8747;4107256
MS;Douradina;Brazil;5924;5003504
SP;Dourado;Brazil;8873;3514304
MG;Douradoquara;Brazil;1908;3123502
MS;Dourados;Brazil;222949;5003702
PR;Doutor Camargo;Brazil;5979;4107306
RS;Doutor Maurício Cardoso;Brazil;4549;4306734
SC;Doutor Pedrinho;Brazil;4064;4205159
RS;Doutor Ricardo;Brazil;1983;4306759
RN;Doutor Severiano;Brazil;7076;2403202
PR;Doutor Ulysses;Brazil;5580;4128633
GO;Doverlândia;Brazil;7322;5207253
SP;Dracena;Brazil;46793;3514403
SP;Duartina;Brazil;12445;3514502
RJ;Duas Barras;Brazil;11492;3301603
PB;Duas Estradas;Brazil;3596;2505808
TO;Dueré;Brazil;4686;1707306
SP;Dumont;Brazil;9868;3514601
MA;Duque Bacelar;Brazil;11349;2103901
RJ;Duque de Caxias;Brazil;919596;3301702
MG;Durandé;Brazil;7841;3123528
SP;Echaporã;Brazil;6102;3514700
ES;Ecoporanga;Brazil;22923;3202108
GO;Edealina;Brazil;3699;5207352
GO;Edéia;Brazil;12372;5207402
AM;Eirunepé;Brazil;35273;1301407
SP;Eldorado;Brazil;15494;3514809
MS;Eldorado;Brazil;12353;5003751
PA;Eldorado do Carajás;Brazil;33808;1502954
RS;Eldorado do Sul;Brazil;41285;4306767
PI;Elesbão Veloso;Brazil;14602;2203503
SP;Elias Fausto;Brazil;17772;3514908
PI;Eliseu Martins;Brazil;4915;2203602
SP;Elisiário;Brazil;3651;3514924
BA;Elísio Medrado;Brazil;8122;2910305
MG;Elói Mendes;Brazil;28076;3123601
PB;Emas;Brazil;3522;2505907
SP;Embaúba;Brazil;2452;3514957
SP;Embu das Artes;Brazil;273726;3515004
SP;Embu-Guaçu;Brazil;69385;3515103
SP;Emilianópolis;Brazil;3214;3515129
RS;Encantado;Brazil;22706;4306809
RN;Encanto;Brazil;5638;2403301
BA;Encruzilhada;Brazil;17006;2910404
RS;Encruzilhada do Sul;Brazil;25877;4306908
PR;Enéas Marques;Brazil;5961;4107405
PR;Engenheiro Beltrão;Brazil;14000;4107504
MG;Engenheiro Caldas;Brazil;11134;3123700
SP;Engenheiro Coelho;Brazil;20773;3515152
MG;Engenheiro Navarro;Brazil;7242;3123809
RJ;Engenheiro Paulo de Frontin;Brazil;14002;3301801
RS;Engenho Velho;Brazil;1034;4306924
MG;Entre Folhas;Brazil;5370;3123858
BA;Entre Rios;Brazil;41780;2910503
SC;Entre Rios;Brazil;3203;4205175
MG;Entre Rios de Minas;Brazil;15298;3123908
PR;Entre Rios do Oeste;Brazil;4539;4107538
RS;Entre Rios do Sul;Brazil;2792;4306957
RS;Entre-Ijuís;Brazil;8475;4306932
AM;Envira;Brazil;20033;1301506
AC;Epitaciolândia;Brazil;18411;1200252
RN;Equador;Brazil;6045;2403400
RS;Erebango;Brazil;2991;4306973
RS;Erechim;Brazil;105862;4307005
CE;Ererê;Brazil;7198;2304277
BA;Érico Cardoso;Brazil;10610;2900504
SC;Ermo;Brazil;2063;4205191
RS;Ernestina;Brazil;3168;4307054
RS;Erval Grande;Brazil;4859;4307203
RS;Erval Seco;Brazil;6912;4307302
SC;Erval Velho;Brazil;4412;4205209
MG;Ervália;Brazil;18895;3124005
PE;Escada;Brazil;68875;2605202
RS;Esmeralda;Brazil;3282;4307401
MG;Esmeraldas;Brazil;70552;3124104
MG;Espera Feliz;Brazil;24951;3124203
PB;Esperança;Brazil;33007;2506004
RS;Esperança do Sul;Brazil;2926;4307450
PR;Esperança Nova;Brazil;1698;4107520
TO;Esperantina;Brazil;10996;1707405
PI;Esperantina;Brazil;39737;2203701
MA;Esperantinópolis;Brazil;17241;2104008
PR;Espigão Alto do Iguaçu;Brazil;4117;4107546
RO;Espigão D'Oeste;Brazil;32374;1100098
MG;Espinosa;Brazil;31617;3124302
RN;Espírito Santo;Brazil;10505;2403509
MG;Espírito Santo do Dourado;Brazil;4692;3124401
SP;Espírito Santo do Pinhal;Brazil;44330;3515186
SP;Espírito Santo do Turvo;Brazil;4829;3515194
BA;Esplanada;Brazil;37237;2910602
RS;Espumoso;Brazil;15588;4307500
RS;Estação;Brazil;5958;4307559
SE;Estância;Brazil;69184;2802106
RS;Estância Velha;Brazil;50022;4307609
RS;Esteio;Brazil;83202;4307708
MG;Estiva;Brazil;11354;3124500
SP;Estiva Gerbi;Brazil;11304;3557303
MA;Estreito;Brazil;41946;2104057
RS;Estrela;Brazil;34116;4307807
MG;Estrela Dalva;Brazil;2343;3124609
AL;Estrela de Alagoas;Brazil;18205;2702553
MG;Estrela do Indaiá;Brazil;3500;3124708
SP;Estrela do Norte;Brazil;2766;3515301
GO;Estrela do Norte;Brazil;3275;5207501
MG;Estrela do Sul;Brazil;7978;3124807
SP;Estrela d'Oeste;Brazil;8419;3515202
RS;Estrela Velha;Brazil;3655;4307815
BA;Euclides da Cunha;Brazil;60585;2910701
SP;Euclides da Cunha Paulista;Brazil;9371;3515350
RS;Eugênio de Castro;Brazil;2396;4307831
MG;Eugenópolis;Brazil;11275;3124906
BA;Eunápolis;Brazil;113380;2910727
CE;Eusébio;Brazil;53618;2304285
MG;Ewbank da Câmara;Brazil;3913;3125002
MG;Extrema;Brazil;36225;3125101
RN;Extremoz;Brazil;28583;2403608
PE;Exu;Brazil;31825;2605301
PB;Fagundes;Brazil;11253;2506103
RS;Fagundes Varela;Brazil;2731;4307864
GO;Faina;Brazil;6627;5207535
MG;Fama;Brazil;2377;3125200
MG;Faria Lemos;Brazil;3241;3125309
CE;Farias Brito;Brazil;19450;2304301
PA;Faro;Brazil;7194;1503002
PR;Farol;Brazil;3089;4107553
RS;Farroupilha;Brazil;72331;4307906
SP;Fartura;Brazil;16036;3515400
PI;Fartura do Piauí;Brazil;5307;2203750
TO;Fátima;Brazil;3835;1707553
BA;Fátima;Brazil;17890;2910750
MS;Fátima do Sul;Brazil;19189;5003801
PR;Faxinal;Brazil;17251;4107603
RS;Faxinal do Soturno;Brazil;6677;4308003
SC;Faxinal dos Guedes;Brazil;10667;4205308
RS;Faxinalzinho;Brazil;2315;4308052
GO;Fazenda Nova;Brazil;5637;5207600
PR;Fazenda Rio Grande;Brazil;100209;4107652
RS;Fazenda Vilanova;Brazil;4533;4308078
AC;Feijó;Brazil;34780;1200302
BA;Feira da Mata;Brazil;5665;2910776
BA;Feira de Santana;Brazil;614872;2910800
AL;Feira Grande;Brazil;22166;2702603
PE;Feira Nova;Brazil;22131;2605400
SE;Feira Nova;Brazil;5584;2802205
MA;Feira Nova do Maranhão;Brazil;8504;2104073
MG;Felício dos Santos;Brazil;4753;3125408
RN;Felipe Guerra;Brazil;5985;2403707
MG;Felisburgo;Brazil;7457;3125606
MG;Felixlândia;Brazil;15336;3125705
RS;Feliz;Brazil;13547;4308102
AL;Feliz Deserto;Brazil;4754;2702702
MT;Feliz Natal;Brazil;14192;5103700
PR;Fênix;Brazil;4762;4107702
PR;Fernandes Pinheiro;Brazil;5646;4107736
MG;Fernandes Tourinho;Brazil;3431;3125804
PE;Fernando de Noronha;Brazil;3061;2605459
MA;Fernando Falcão;Brazil;10360;2104081
RN;Fernando Pedroza;Brazil;3054;2403756
SP;Fernando Prestes;Brazil;5783;3515608
SP;Fernandópolis;Brazil;69116;3515509
SP;Fernão;Brazil;1716;3515657
SP;Ferraz de Vasconcelos;Brazil;194276;3515707
AP;Ferreira Gomes;Brazil;7780;1600238
PE;Ferreiros;Brazil;12123;2605509
MG;Ferros;Brazil;9820;3125903
MG;Fervedouro;Brazil;11006;3125952
PR;Figueira;Brazil;7770;4107751
MS;Figueirão;Brazil;3051;5003900
TO;Figueirópolis;Brazil;5263;1707652
MT;Figueirópolis D'Oeste;Brazil;3494;5103809
TO;Filadélfia;Brazil;8856;1707702
BA;Filadélfia;Brazil;16377;2910859
BA;Firmino Alves;Brazil;5617;2910909
GO;Firminópolis;Brazil;13292;5207808
AL;Flexeiras;Brazil;12790;2702801
PR;Flor da Serra do Sul;Brazil;4624;4107850
SC;Flor do Sertão;Brazil;1582;4205357
SP;Flora Rica;Brazil;1464;3515806
PR;Floraí;Brazil;4929;4107801
RN;Florânia;Brazil;9116;2403806
SP;Floreal;Brazil;2917;3515905
PE;Flores;Brazil;22624;2605608
RS;Flores da Cunha;Brazil;30745;4308201
GO;Flores de Goiás;Brazil;16557;5207907
PI;Flores do Piauí;Brazil;4463;2203800
PE;Floresta;Brazil;32873;2605707
PR;Floresta;Brazil;6774;4107900
BA;Floresta Azul;Brazil;10629;2911006
PA;Floresta do Araguaia;Brazil;20304;1503044
PI;Floresta do Piauí;Brazil;2558;2203859
MG;Florestal;Brazil;7461;3126000
PR;Florestópolis;Brazil;10548;4108007
PI;Floriano;Brazil;59935;2203909
RS;Floriano Peixoto;Brazil;1766;4308250
SC;Florianópolis;Brazil;500973;4205407
PR;Flórida;Brazil;2689;4108106
SP;Flórida Paulista;Brazil;14640;3516002
SP;Florínia;Brazil;2676;3516101
AM;Fonte Boa;Brazil;17609;1301605
RS;Fontoura Xavier;Brazil;10304;4308300
MG;Formiga;Brazil;67683;3126109
RS;Formigueiro;Brazil;6664;4308409
GO;Formosa;Brazil;121617;5208004
MA;Formosa da Serra Negra;Brazil;19089;2104099
PR;Formosa do Oeste;Brazil;6578;4108205
BA;Formosa do Rio Preto;Brazil;25591;2911105
SC;Formosa do Sul;Brazil;2510;4205431
MG;Formoso;Brazil;9562;3126208
GO;Formoso;Brazil;4248;5208103
TO;Formoso do Araguaia;Brazil;18440;1708205
RS;Forquetinha;Brazil;2412;4308433
CE;Forquilha;Brazil;24218;2304350
SC;Forquilhinha;Brazil;26793;4205456
CE;Fortaleza;Brazil;2669342;2304400
MG;Fortaleza de Minas;Brazil;4412;3126307
TO;Fortaleza do Tabocão;Brazil;2589;1708254
MA;Fortaleza dos Nogueiras;Brazil;12631;2104107
RS;Fortaleza dos Valos;Brazil;4320;4308458
CE;Fortim;Brazil;16480;2304459
MA;Fortuna;Brazil;15552;2104206
MG;Fortuna de Minas;Brazil;2947;3126406
PR;Foz do Iguaçu;Brazil;258532;4108304
PR;Foz do Jordão;Brazil;4650;4108452
SC;Fraiburgo;Brazil;36443;4205506
SP;Franca;Brazil;353187;3516200
PI;Francinópolis;Brazil;5348;2204006
PR;Francisco Alves;Brazil;6046;4108320
PI;Francisco Ayres;Brazil;4348;2204105
MG;Francisco Badaró;Brazil;10332;3126505
PR;Francisco Beltrão;Brazil;91093;4108403
RN;Francisco Dantas;Brazil;2824;2403905
MG;Francisco Dumont;Brazil;5215;3126604
PI;Francisco Macedo;Brazil;3184;2204154
SP;Francisco Morato;Brazil;175844;3516309
MG;Francisco Sá;Brazil;26277;3126703
PI;Francisco Santos;Brazil;9319;2204204
MG;Franciscópolis;Brazil;5391;3126752
SP;Franco da Rocha;Brazil;154489;3516408
CE;Frecheirinha;Brazil;14072;2304509
RS;Frederico Westphalen;Brazil;31313;4308508
MG;Frei Gaspar;Brazil;5880;3126802
MG;Frei Inocêncio;Brazil;9611;3126901
MG;Frei Lagonegro;Brazil;3478;3126950
PB;Frei Martinho;Brazil;2989;2506202
PE;Frei Miguelinho;Brazil;15457;2605806
SE;Frei Paulo;Brazil;15421;2802304
SC;Frei Rogério;Brazil;2023;4205555
MG;Fronteira;Brazil;18103;3127008
MG;Fronteira dos Vales;Brazil;4581;3127057
PI;Fronteiras;Brazil;11625;2204303
MG;Fruta de Leite;Brazil;5369;3127073
MG;Frutal;Brazil;59496;3127107
RN;Frutuoso Gomes;Brazil;4068;2404002
ES;Fundão;Brazil;21509;3202207
MG;Funilândia;Brazil;4349;3127206
SP;Gabriel Monteiro;Brazil;2776;3516507
PB;Gado Bravo;Brazil;8316;2506251
SP;Gália;Brazil;6548;3516606
MG;Galiléia;Brazil;6817;3127305
RN;Galinhos;Brazil;2786;2404101
SC;Galvão;Brazil;2873;4205605
PE;Gameleira;Brazil;31052;2605905
